id video_name class subset
199 Shoplifting022_x264 0 train
200 Shoplifting024_x264 0 train
201 Shoplifting024_x264 1 train
202 Shoplifting024_x264 0 train
203 Shoplifting026_x264 1 train
204 Shoplifting026_x264 0 train
205 Shoplifting026_x264 1 train
206 Shoplifting026_x264 0 validation
207 Shoplifting029_x264 0 train
208 Shoplifting029_x264 1 train
209 Shoplifting029_x264 0 train
210 Shoplifting031_x264 1 train
211 Shoplifting034_x264 0 train
212 Shoplifting034_x264 1 train
213 Shoplifting034_x264 0 train
214 Shoplifting034_x264 1 train
215 Shoplifting034_x264 0 train
216 Shoplifting034_x264 1 train
217 Shoplifting034_x264 0 train
218 Shoplifting036_x264 0 validation
219 Shoplifting036_x264 1 validation
220 Shoplifting036_x264 0 train
221 Shoplifting040_x264 1 validation
222 Shoplifting040_x264 0 validation
223 Shoplifting040_x264 1 train
224 Shoplifting040_x264 0 train
225 Shoplifting040_x264 1 validation
226 Shoplifting040_x264 0 train
227 Shoplifting040_x264 1 train
228 Shoplifting040_x264 0 train
229 Shoplifting040_x264 1 train
230 Shoplifting040_x264 0 train
231 Shoplifting040_x264 1 train
232 Shoplifting040_x264 0 train
233 Shoplifting040_x264 1 train
234 Shoplifting040_x264 0 train
235 Shoplifting052_x264 0 train
236 Shoplifting052_x264 1 train
237 Shoplifting052_x264 0 train
238 Shoplifting052_x264 1 train
239 Shoplifting052_x264 0 validation
240 Shoplifting052_x264 1 train
241 Shoplifting052_x264 0 train
242 Shoplifting052_x264 1 validation
243 Shoplifting052_x264 0 validation
244 Shoplifting052_x264 1 train
245 Shoplifting052_x264 0 train
