id group_id youtube_id class start_time end_time x y width height fps
48 48 2HsaTjpESyDU 0 00:00:28 00:00:36 0 0 320 240 5
49 49 2HsaTjpESyDU 1 00:00:36 00:00:40 0 0 320 240 5
50 50 2HsaTjpESyDU 1 00:00:40 00:00:43 0 0 320 240 5
51 51 2HsaTjpESyDU 1 00:00:43 00:00:48 0 0 320 240 5
52 52 2HsaTjpESyDU 0 00:00:48 00:00:52 0 0 320 240 5
53 53 2l0eoLhFTHz4 0 00:02:02 00:02:12 157 1 473 354 5
54 54 2l0eoLhFTHz4 0 00:02:12 00:02:22 157 1 473 354 5
55 55 2l0eoLhFTHz4 0 00:02:22 00:02:32 157 1 473 354 5
56 56 2l0eoLhFTHz4 0 00:02:32 00:02:42 157 1 473 354 5
57 57 2l0eoLhFTHz4 0 00:02:42 00:02:52 157 1 473 354 5
58 58 2l0eoLhFTHz4 0 00:02:52 00:03:02 157 1 473 354 5
59 59 2l0eoLhFTHz4 0 00:03:02 00:03:12 157 1 473 354 5
60 60 2l0eoLhFTHz4 1 00:03:12 00:03:21 157 1 473 354 5
61 61 2l0eoLhFTHz4 0 00:03:21 00:03:31 157 1 473 354 5
62 62 2l0eoLhFTHz4 0 00:03:31 00:03:41 157 1 473 354 5
63 63 2l0eoLhFTHz4 0 00:03:41 00:03:51 157 1 473 354 5
64 64 2vA9duDV6VFc 0 00:00:23 00:00:33 178 141 261 195 5
65 65 2vA9duDV6VFc 0 00:00:33 00:00:43 178 141 261 195 5
66 66 2vA9duDV6VFc 0 00:00:43 00:00:53 178 141 261 195 5
67 67 2vA9duDV6VFc 0 00:00:53 00:01:03 178 141 261 195 5
68 68 2vA9duDV6VFc 1 00:01:03 00:01:13 178 141 261 195 5
69 69 2vA9duDV6VFc 0 00:01:13 00:01:23 178 141 261 195 5
70 70 2vA9duDV6VFc 0 00:01:50 00:02:00 3 118 271 203 5
71 71 2vA9duDV6VFc 0 00:02:00 00:02:10 3 118 271 203 5
72 72 2vA9duDV6VFc 1 00:02:10 00:02:14 3 118 271 203 5
73 73 2vA9duDV6VFc 0 00:02:14 00:02:20 3 118 271 203 5
74 74 2vA9duDV6VFc 1 00:02:20 00:02:29 3 118 271 203 5
75 75 2vA9duDV6VFc 0 00:02:29 00:02:39 3 118 271 203 5
76 76 2nm2KxtOZOqA 0 00:00:50 00:01:00 151 47 385 288 5
77 77 2nm2KxtOZOqA 0 00:01:00 00:01:10 151 47 385 288 5
78 78 2nm2KxtOZOqA 0 00:01:10 00:01:20 151 47 385 288 5
79 79 2nm2KxtOZOqA 0 00:01:20 00:01:30 151 47 385 288 5
80 80 2nm2KxtOZOqA 1 00:01:30 00:01:35 151 47 385 288 5
81 81 2nm2KxtOZOqA 0 00:01:35 00:01:45 151 47 385 288 5
82 82 2nm2KxtOZOqA 0 00:01:45 00:01:55 151 47 385 288 5
83 83 2cusyKShBCi4 0 00:03:05 00:03:15 73 65 279 209 5
84 84 2cusyKShBCi4 0 00:03:15 00:03:25 73 65 279 209 5
85 85 2cusyKShBCi4 0 00:03:25 00:03:35 73 65 279 209 5
86 86 2cusyKShBCi4 0 00:03:35 00:03:45 73 65 279 209 5
87 87 2cusyKShBCi4 0 00:03:45 00:03:55 73 65 279 209 5
88 88 2cusyKShBCi4 0 00:03:55 00:04:05 73 65 279 209 5
89 89 2cusyKShBCi4 1 00:04:05 00:04:13 73 65 279 209 5
90 90 2cusyKShBCi4 0 00:04:13 00:04:23 73 65 279 209 5
91 91 22EoU6EXnPuE 0 00:00:00 00:00:10 234 247 235 176 5
92 92 22EoU6EXnPuE 1 00:00:10 00:00:16 234 247 235 176 5
93 93 22EoU6EXnPuE 0 00:00:16 00:00:26 234 247 235 176 5
94 94 2GB0e1M5p3NU 0 00:04:14 00:04:24 222 102 295 221 5
95 95 2GB0e1M5p3NU 0 00:04:24 00:04:34 222 102 295 221 5
96 96 2GB0e1M5p3NU 0 00:04:34 00:04:44 222 102 295 221 5
97 97 2GB0e1M5p3NU 1 00:04:44 00:04:57 222 102 295 221 5
98 98 2GB0e1M5p3NU 0 00:04:57 00:05:07 222 102 295 221 5
99 99 2GB0e1M5p3NU 0 00:05:07 00:05:17 222 102 295 221 5
100 100 2GB0e1M5p3NU 0 00:05:17 00:05:27 222 102 295 221 5
101 101 zICx1okhU0Y 1 00:00:02 00:00:08 23 66 838 628 5
102 102 zICx1okhU0Y 1 00:01:55 00:01:59 69 19 870 652 5
103 103 zICx1okhU0Y 0 00:01:59 00:02:04 69 19 870 652 5
104 104 zICx1okhU0Y 1 00:02:04 00:02:08 69 19 870 652 5
105 105 zICx1okhU0Y 0 00:02:08 00:02:10 69 19 870 652 5
106 106 zICx1okhU0Y 1 00:02:10 00:02:16 69 19 870 652 5
107 107 b_WbXpc8ASI 1 00:05:02 00:05:10 547 37 1309 981 5
108 108 b_WbXpc8ASI 1 00:06:27 00:06:33 487 166 1183 887 5
109 109 b_WbXpc8ASI 1 00:06:34 00:06:40 519 131 1265 948 5
110 110 b_WbXpc8ASI 1 00:06:59 00:07:04 482 261 1084 813 5
111 111 CCTw1j0FL7E 1 00:00:41 00:00:48 128 8 842 631 5
112 112 CCTw1j0FL7E 0 00:00:48 00:00:51 128 8 842 631 5
113 113 CCTw1j0FL7E 1 00:00:51 00:00:56 128 8 842 631 5
114 114 CCTw1j0FL7E 1 00:00:56 00:01:04 128 8 842 631 5
115 115 CCTw1j0FL7E 0 00:01:43 00:01:48 115 91 828 621 5
116 116 CCTw1j0FL7E 1 00:01:48 00:01:53 115 91 828 621 5
117 117 FPa3kNwnNRk 0 00:00:24 00:00:33 115 8 945 708 5
118 118 FPa3kNwnNRk 1 00:00:33 00:00:39 115 8 945 708 5
119 119 FPa3kNwnNRk 1 00:02:56 00:03:04 271 114 782 586 5
120 120 Z65lGGMaSFE 0 00:04:16 00:04:26 266 238 626 469
121 121 Z65lGGMaSFE 0 00:04:26 00:04:36 266 238 626 469
122 122 Z65lGGMaSFE 0 00:04:36 00:04:46 266 238 626 469
123 123 Z65lGGMaSFE 1 00:04:46 00:04:56 266 238 626 469
124 124 Z65lGGMaSFE 0 00:05:52 00:06:02 406 47 869 651
125 125 Z65lGGMaSFE 1 00:06:03 00:06:06 406 47 869 651
126 126 Z65lGGMaSFE 0 00:06:06 00:06:20 406 47 869 651
127 127 Z65lGGMaSFE 1 00:06:20 00:06:23 406 47 869 651
128 128 Z65lGGMaSFE 0 00:06:23 00:06:30 406 47 869 651
129 129 Z65lGGMaSFE 1 00:06:30 00:06:42 406 47 869 651
130 130 4WZo39BbE3o 0 00:11:51 00:11:58 
131 131 4WZo39BbE3o 1 00:12:03 00:12:06 
132 132 4WZo39BbE3o 0 00:12:21 00:12:26 
133 133 4WZo39BbE3o 1 00:12:26 00:12:30 
134 134 4WZo39BbE3o 1 00:12:39 00:12:41 
135 135 4WZo39BbE3o 1 00:13:14 00:13:22 
136 136 4WZo39BbE3o 0 00:13:22 00:13:28 
137 137 sf3WSCoqdo8 1 00:01:22 00:01:32 
137 137 sf3WSCoqdo8 0 00:01:32 00:01:51 
138 138 F-zT2pI-lnQ 0 00:01:36 00:01:48 
138 138 F-zT2pI-lnQ 0 00:01:48 00:01:58 
138 138 F-zT2pI-lnQ 0 00:01:58 00:02:08 
138 138 F-zT2pI-lnQ 1 00:02:08 00:02:14 
138 138 F-zT2pI-lnQ 0 00:02:14 00:02:23 
139 139 F-zT2pI-lnQ 1 00:02:27 00:02:36 
140 140 F-zT2pI-lnQ 1 00:02:54 00:03:06 
143 143 DXlgdJ34Gnc 0 00:00:22 00:00:32 
142 142 DXlgdJ34Gnc 1 00:00:34 00:00:44 
144 144 DXlgdJ34Gnc 0 00:00:44 00:00:54 
145 145 txjZXdu5Xiw 0 00:00:48 00:01:58 
145 145 txjZXdu5Xiw 1 00:00:58 00:01:06 
145 145 txjZXdu5Xiw 1 00:01:06 00:01:11 
146 146 OXlaho8wayQ 0 00:01:03 00:01:13 
146 146 OXlaho8wayQ 0 00:01:13 00:01:23 
146 146 OXlaho8wayQ 0 00:01:23 00:01:33 
146 146 OXlaho8wayQ 0 00:01:33 00:01:43 
146 146 OXlaho8wayQ 1 00:01:43 00:01:50 
146 146 OXlaho8wayQ 0 00:01:50 00:02:00 
146 146 OXlaho8wayQ 0 00:02:00 00:02:10 
146 146 OXlaho8wayQ 0 00:02:10 00:02:20 
146 146 OXlaho8wayQ 0 00:02:20 00:02:30 
147 147 -cH7TGI6zUk 0 00:00:08 00:00:18 
147 147 -cH7TGI6zUk 1 00:00:18 00:00:30 
148 148 bIxeQKzk9-0 0 00:00:28 00:00:38 
148 148 bIxeQKzk9-0 1 00:00:38 00:00:45 
148 148 bIxeQKzk9-0 0 00:00:45 00:00:55 
149 149 DwEGrNQAj7Q 1 00:00:05 00:00:20 
150 150 vBu6OiSdrds 1 00:00:25 00:00:48 
151 151 yDPZ5Yrn2OI 1 00:01:55 00:02:01 
152 152 yDPZ5Yrn2OI 1 00:03:28 00:03:35 
153 153 yDPZ5Yrn2OI 1 00:03:48 00:03:52 
154 154 yDPZ5Yrn2OI 1 00:03:01 00:03:10 
155 155 yDPZ5Yrn2OI 1 00:04:28 00:04:40 
156 156 yDPZ5Yrn2OI 1 00:05:10 00:05:23 
157 157 yDPZ5Yrn2OI 1 00:05:23 00:05:33 
158 158 yDPZ5Yrn2OI 1 00:05:39 00:05:48 
159 159 yDPZ5Yrn2OI 1 00:05:53 00:06:07 
160 160 yDPZ5Yrn2OI 1 00:06:20 00:06:30 
161 161 yDPZ5Yrn2OI 1 00:06:35 00:06:43 
162 162 yDPZ5Yrn2OI 1 00:07:03 00:07:14 
163 163 yDPZ5Yrn2OI 1 00:07:28 00:07:33 
164 164 cxzukX7Z_1I 1 00:00:50 00:01:40 
165 165 lZPbkfUYavo 1 00:01:20 00:01:50 
166 166 fs-ifFsc8Bg 1 00:00:32 00:00:47 
167 167 _dmpHSznOMk 1 00:00:20 00:00:35 
168 168 64zoxiMu0p8 1 00:02:45 00:02:54 
169 169 64zoxiMu0p8 1 00:02:54 00:03:18 
170 170 64zoxiMu0p8 1 00:03:42 00:04:06 
171 171 WMeziHjV7Sc 1 00:05:25 00:05:45 
172 172 fmFTmov-K2k 1 00:00:28 00:00:44 
173 173 fmFTmov-K2k 1 00:00:48 00:00:59 
174 174 DKqb-0bBx7E 1 00:01:10 00:01:14 
175 175 DKqb-0bBx7E 0 00:01:00 00:01:10 
176 176 DKqb-0bBx7E 0 00:01:14 00:01:24 
177 177 DKqb-0bBx7E 1 00:01:20 00:01:30 
178 178 4yzKIYbm6tM 1 00:00:07 00:00:14 
179 179 uGpFQT3Uiig 1 00:01:14 00:01:24 
180 180 uGpFQT3Uiig 1 00:01:16 00:01:24 
181 181 uGpFQT3Uiig 0 00:01:00 00:01:16 
182 182 uGpFQT3Uiig 0 00:01:24 00:01:36 
183 183 uGpFQT3Uiig 1 00:03:05 00:03:16 
184 184 uGpFQT3Uiig 1 00:03:25 00:03:35 
185 185 uGpFQT3Uiig 1 00:05:14 00:05:30 
186 186 2gqpXl8I7mE 1 00:00:12 00:00:30 
187 187 2gqpXl8I7mE 1 00:00:30 00:00:55 
188 188 yyUaFBMwLlA 1 00:01:05 00:01:18 
189 189 yyUaFBMwLlA 1 00:01:23 00:01:37 
190 190 US59wO9bAv4 1 00:00:27

001 0 00:00:23 00:00:33 132 63 140 141
001 0 00:00:33 00:00:43 132 63 140 141
001 0 00:00:43 00:00:53 132 63 140 141
001 1 00:00:53 00:00:58 132 63 140 141
001 1 00:00:58 00:01:08 132 63 140 141
001 0 00:01:08 00:01:18 132 63 140 141
005 0 00:00:11 00:00:22 77 0 136 234
005 1 00:00:22 00:00:32 77 0 136 234
005 0 00:00:32 00:00:42 77 0 136 234
005 0 00:00:42 00:00:52 77 0 136 234
007 0 00:00:00 00:00:17 92 20 178 220
007 1 00:00:17 00:00:32 92 20 178 220
007 0 00:00:32 00:00:42 92 20 178 220
007 0 00:00:42 00:00:52 92 20 178 220
007 0 00:00:52 00:01:02 92 20 178 220
007 0 00:01:02 00:01:12 92 20 178 220
007 0 00:01:12 00:01:22 92 20 178 220
007 0 00:01:22 00:01:32 92 20 178 220
007 0 00:01:32 00:01:42 92 20 178 220
007 0 00:01:42 00:01:52 92 20 178 220
007 0 00:01:52 00:02:02 92 20 178 220
007 0 00:02:02 00:02:12 92 20 178 220
007 0 00:02:12 00:02:22 92 20 178 220
007 0 00:02:22 00:02:32 92 20 178 220
007 0 00:02:32 00:02:42 92 20 178 220
007 0 00:02:42 00:02:50 92 20 178 220
010 0 00:00:13 00:00:23 73 93 74 117
010 1 00:00:23 00:00:30 73 93 74 117
010 0 00:00:30 00:00:40 73 93 74 117
010 0 00:00:40 00:00:49 71 77 69 106
010 1 00:00:49 00:00:55 71 77 69 106
010 1 00:00:56 00:01:05 71 77 69 106
010 0 00:01:05 00:01:15 71 77 69 106
010 0 00:01:15 00:01:25 71 77 69 106
012 0 00:00:00 00:04:25 116 64 130 97
012 1 00:04:25 00:04:32 116 64 130 97
012 0 00:04:32 00:13:01 116 64 130 97
015 0 00:00:37 00:00:47 105 77 215 163
015 0 00:00:47 00:00:57 105 77 215 163
015 0 00:00:57 00:01:07 105 77 215 163
015 1 00:01:07 00:01:13 105 77 215 163
016 0 00:00:00 00:00:08 9 32 232 208
016 0 00:00:08 00:00:18 9 32 232 208
016 1 00:00:18 00:00:25 9 32 232 208
016 0 00:00:25 00:00:35 9 32 232 208
016 0 00:00:35 00:00:49 9 32 232 208
017 1 00:00:00 00:00:10 56 0 149 148
017 1 00:00:10 00:00:15 56 0 149 148
018 0 00:00:00 00:00:10 211 18 72 130
018 1 00:00:10 00:00:27 211 18 72 130
018 0 00:00:27 00:00:35 211 18 72 130
018 1 00:00:35 00:00:52 211 18 72 130
018 0 00:00:52 00:01:11 211 18 72 130
020 0 00:00:00 00:01:06 0 8 146 201
020 1 00:01:06 00:01:23 0 8 146 201
020 0 00:01:23 00:03:12 0 8 146 201
021 0 00:00:00 00:01:09 152 12 167 177
021 1 00:01:09 00:01:16 152 12 167 177
021 0 00:01:16 00:01:58 152 12 167 177
022 0 00:00:00 00:00:08 16 57 168 151
022 1 00:00:08 00:00:13 16 57 168 151
022 0 00:00:13 00:00:20 16 57 168 151
022 1 00:00:20 00:00:25 16 76 116 132
022 1 00:00:23 00:00:35 16 43 124 166
022 0 00:00:35 00:00:46 16 43 124 166
022 1 00:00:46 00:00:55 16 52 163 156
022 0 00:00:55 00:01:13 16 52 163 156
024 0 00:00:00 00:00:26 114 80 107 111
024 1 00:00:26 00:00:34 114 80 107 111
024 0 00:00:34 00:00:40 114 80 107 111
026 1 00:00:03 00:00:12 80 29 126 84
026 0 00:00:12 00:00:19 80 29 126 84
026 1 00:00:19 00:00:34 80 29 126 84
029 0 00:00:07 00:00:35 68 35 119 135
029 1 00:00:35 00:00:49 68 35 119 135
029 0 00:00:49 00:01:04 68 35 119 135
031 1 00:00:00 00:00:13 0 110 75 115
