id video_name class subset
178 Shoplifting017_x264_178 0 training
179 Shoplifting017_x264_179 1 training
180 Shoplifting018_x264_180 0 training
181 Shoplifting018_x264_181 1 training
182 Shoplifting018_x264_182 0 training
183 Shoplifting018_x264_183 1 validation
184 Shoplifting018_x264_184 0 validation
185 Shoplifting020_x264_185 0 validation
186 Shoplifting020_x264_186 1 training
187 Shoplifting020_x264_187 0 training
188 Shoplifting021_x264_188 0 validation
189 Shoplifting021_x264_189 1 training
190 Shoplifting021_x264_190 0 training
191 Shoplifting022_x264_191 0 training
192 Shoplifting022_x264_192 1 training
193 Shoplifting022_x264_193 0 training
194 Shoplifting022_x264_194 1 training
195 Shoplifting022_x264_195 0 training
196 Shoplifting022_x264_196 1 training
197 Shoplifting022_x264_197 0 validation
198 Shoplifting022_x264_198 1 validation
199 Shoplifting022_x264_199 0 training
200 Shoplifting024_x264_200 0 training
201 Shoplifting024_x264_201 1 training
202 Shoplifting024_x264_202 0 training
203 Shoplifting026_x264_203 1 training
204 Shoplifting026_x264_204 0 training
205 Shoplifting026_x264_205 1 training
206 Shoplifting026_x264_206 0 training
207 Shoplifting029_x264_207 0 training
208 Shoplifting029_x264_208 1 training
209 Shoplifting029_x264_209 0 training
210 Shoplifting031_x264_210 1 validation
211 Shoplifting034_x264_211 0 training
212 Shoplifting034_x264_212 1 training
213 Shoplifting034_x264_213 0 validation
214 Shoplifting034_x264_214 1 training
215 Shoplifting034_x264_215 0 training
216 Shoplifting034_x264_216 1 training
217 Shoplifting034_x264_217 0 validation
218 Shoplifting036_x264_218 0 validation
219 Shoplifting036_x264_219 1 training
220 Shoplifting036_x264_220 0 training
221 Shoplifting040_x264_221 1 training
222 Shoplifting040_x264_222 0 training
223 Shoplifting040_x264_223 1 training
224 Shoplifting040_x264_224 0 training
225 Shoplifting040_x264_225 1 validation
226 Shoplifting040_x264_226 0 training
227 Shoplifting040_x264_227 1 training
228 Shoplifting040_x264_228 0 training
229 Shoplifting040_x264_229 1 validation
230 Shoplifting040_x264_230 0 training
231 Shoplifting040_x264_231 1 training
232 Shoplifting040_x264_232 0 validation
233 Shoplifting040_x264_233 1 validation
234 Shoplifting040_x264_234 0 training
235 Shoplifting052_x264_235 0 training
236 Shoplifting052_x264_236 1 training
237 Shoplifting052_x264_237 0 training
238 Shoplifting052_x264_238 1 training
239 Shoplifting052_x264_239 0 training
240 Shoplifting052_x264_240 1 training
241 Shoplifting052_x264_241 0 training
242 Shoplifting052_x264_242 1 training
243 Shoplifting052_x264_243 0 training
244 Shoplifting052_x264_244 1 training
245 Shoplifting052_x264_245 0 training
